,No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
47,273,1,B,Acer saccharum,0.1,Med,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.8,37.01,-0.09,13.74,12.22,7,24.5,1.0,0,Dead
48,278,1,B,Quercus alba,0.1,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,11.0,40.0,5.24,20.56,19.48,7,24.5,0.0,1,Dead
49,124,1,C,Quercus alba,0.106,Med,2017,Quercus rubra,921,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,15.82,31.07,5.19,20.52,19.29,20,70.0,1.0,0,Dead
50,286,1,D,Quercus rubra,0.107,Med,2016,Quercus alba,1478,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,37.0,2.0,3.6,19.67,19.93,7,24.5,0.0,1,Dead
51,127,1,A,Quercus rubra,0.108,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,23.71,25.98,3.8,23.21,16.91,18,63.0,1.0,0,Dead
52,297,1,B,Quercus rubra,0.1,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,EMF,AMF,5/24/18,41.0,12.86,3.21,25.22,13.47,7,24.5,0.0,1,Dead
53,298,1,D,Quercus alba,0.107,Med,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,18.0,0.0,5.32,21.53,17.89,7,24.5,0.0,1,Dead
54,135,1,A,Quercus rubra,0.108,Med,2017,Sterile,1454,Sterile,Sterilized,EMF,Sterile,5/23/18,9.71,6.71,3.55,24.69,15.17,33,115.5,0.0,0,Alive
55,312,1,B,Quercus rubra,0.1,Med,2016,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,14.0,2.94,3.74,21.23,17.66,7,24.5,0.0,1,Dead
56,318,1,D,Quercus rubra,0.107,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,4.0,1.0,3.48,19.52,19.42,7,24.5,0.0,1,Dead
57,319,1,D,Quercus alba,0.107,Med,2017,Quercus alba,1297,Non-Sterile,Conspecific,EMF,EMF,5/23/18,5.0,0.0,4.63,25.57,14.27,7,24.5,0.0,1,Dead
58,327,1,B,Prunus serotina,0.1,Med,2017,Acer saccharum,1323,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,39.43,2.44,0.72,10.15,13.36,7,24.5,1.0,0,Dead
59,332,1,B,Prunus serotina,0.1,Med,2017,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,19.17,4.88,0.34,9.62,12.04,7,24.5,1.0,0,Dead
60,337,1,D,Quercus alba,0.107,Med,2017,Quercus alba,1715,Non-Sterile,Conspecific,EMF,EMF,5/23/18,7.0,7.32,5.29,23.0,16.99,7,24.5,0.0,1,Dead
61,348,1,B,Quercus alba,0.1,Med,2016,Prunus serotina,H,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,7.0,34.21,4.06,22.12,17.81,7,24.5,0.0,1,Dead
62,351,1,B,Quercus rubra,0.1,Med,2017,Quercus alba,415,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,33.0,11.0,3.65,22.8,16.52,7,24.5,0.0,1,Dead
63,352,1,D,Quercus rubra,0.107,Med,2017,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,10.0,53.33,3.11,28.17,13.23,7,24.5,0.0,1,Dead
64,369,1,B,Quercus rubra,0.1,Med,2017,Quercus alba,1297,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,26.0,47.06,3.68,26.52,14.34,7,24.5,0.0,1,Dead
65,394,1,D,Quercus alba,0.107,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,4.0,28.57,3.99,22.14,17.94,7,24.5,0.0,1,Dead
66,405,1,B,Quercus rubra,0.1,Med,2017,Sterile,984,Sterile,Sterilized,EMF,Sterile,5/23/18,4.0,0.0,3.39,24.93,14.81,7,24.5,0.0,1,Dead
67,416,1,B,Quercus rubra,0.1,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,9.0,15.0,2.79,26.79,10.15,7,24.5,0.0,1,Dead
68,424,1,D,Prunus serotina,0.107,Med,2017,Quercus alba,415,Non-Sterile,Heterospecific,AMF,EMF,6/6/18,30.83,30.225,0.67,10.36,13.68,7,24.5,1.0,0,Dead
69,438,2,A,Quercus alba,0.083,Med,2016,Quercus rubra,1454,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,9.0,45.45,4.97,20.8,18.72,7,24.5,0.0,1,Dead
70,175,1,C,Quercus alba,0.106,Med,2017,Sterile,1205,Sterile,Sterilized,EMF,Sterile,6/15/18,10.3,7.09,3.47,19.59,19.48,33,115.5,0.0,0,Alive
71,441,2,A,Acer saccharum,0.083,Med,2016,Acer saccharum,1330,Non-Sterile,Conspecific,AMF,AMF,6/1/18,19.63,14.82,0.33,13.73,12.2,7,24.5,1.0,0,Dead
72,445,2,C,Prunus serotina,0.097,Med,2017,Sterile,H,Sterile,Sterilized,AMF,Sterile,6/5/18,9.0,22.55,0.07,7.91,11.99,7,24.5,0.0,1,Dead
73,186,1,A,Quercus rubra,0.108,Med,2017,Populus grandidentata,277,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,17.7,30.28,3.7,19.54,19.67,33,115.5,0.0,0,Alive
74,446,2,C,Quercus rubra,0.097,Med,2017,Quercus rubra,984,Non-Sterile,Conspecific,EMF,EMF,5/24/18,70.0,68.0,3.51,27.77,14.41,7,24.5,0.0,1,Dead
75,477,2,A,Prunus serotina,0.083,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,24.39,36.629999999999995,0.62,9.43,11.96,7,24.5,1.0,0,Dead
76,491,2,A,Quercus alba,0.083,Med,2016,Sterile,1715,Sterile,Sterilized,EMF,Sterile,5/17/18,14.0,5.26,3.45,23.58,15.62,7,24.5,0.0,1,Dead
77,499,2,C,Prunus serotina,0.097,Med,2017,Sterile,689,Sterile,Sterilized,AMF,Sterile,6/5/18,8.3,5.775,0.06,7.76,11.84,7,24.5,1.0,0,Dead
78,196,1,C,Quercus rubra,0.106,Med,2017,Sterile,970,Sterile,Sterilized,EMF,Sterile,5/23/18,9.66,6.29,3.57,24.36,15.72,17,59.5,1.0,0,Dead
79,510,2,A,Acer saccharum,0.083,Med,2017,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,6/1/18,25.0,9.684444444444445,0.2,12.86,11.72,7,24.5,0.0,1,Dead
80,557,2,C,Acer saccharum,0.097,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,15.31,13.07888888888889,-0.06,13.74,12.22,7,24.5,1.0,0,Dead
81,601,2,A,Prunus serotina,0.083,Med,2017,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,24.39,16.473333333333333,0.62,9.43,11.96,7,24.5,1.0,0,Dead
82,606,2,C,Prunus serotina,0.097,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,33.29,19.86777777777778,0.57,10.94,13.76,7,24.5,1.0,0,Dead
83,616,2,A,Acer saccharum,0.083,Med,2016,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,13.0,23.262222222222224,-0.26,10.53,10.83,7,24.5,0.0,1,Dead
84,617,2,A,Prunus serotina,0.083,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,14.0,26.656666666666666,0.58,2.23,8.68,7,24.5,0.0,1,Dead
85,631,2,A,Acer saccharum,0.083,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,13.0,30.051111111111112,-0.34,15.22,12.47,7,24.5,0.0,1,Dead
86,633,2,A,Acer saccharum,0.083,Med,2016,Quercus rubra,970,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,12.0,33.44555555555556,0.02,15.52,12.09,7,24.5,0.0,1,Dead
87,646,2,C,Quercus alba,0.097,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,26.0,36.84,4.97,19.2,21.66,7,24.5,0.0,1,Dead
88,243,1,E,Quercus alba,0.098,Med,2017,Quercus alba,1205,Non-Sterile,Conspecific,EMF,EMF,5/23/18,13.63,35.71,5.01,21.98,17.53,33,115.5,0.0,0,Alive
89,650,2,B,Quercus alba,0.082,Med,2017,Sterile,415,Sterile,Sterilized,EMF,Sterile,5/17/18,0.0,1.37,2.8,17.67,18.51,7,24.5,0.0,1,Dead
90,664,2,D,Acer saccharum,0.1,Med,2017,Quercus alba,415,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,13.21,0.685,-0.04,13.89,12.52,7,24.5,1.0,0,Dead
91,683,2,D,Quercus alba,0.1,Med,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,23.0,0.0,4.15,19.05,23.24,7,24.5,0.0,1,Dead
92,701,2,D,Acer saccharum,0.1,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.57,20.815,0.22,13.76,12.17,7,24.5,1.0,0,Dead
93,253,1,B,Quercus alba,0.1,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,11.18,41.63,5.24,21.72,17.86,33,115.5,0.0,0,Alive
94,703,2,B,Quercus alba,0.082,Med,2016,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,17.0,12.0,4.8,23.26,16.43,7,24.5,0.0,1,Dead
95,266,1,D,Quercus rubra,0.107,Med,2017,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,5/24/18,20.34,28.16,3.54,26.47,14.47,33,115.5,0.0,0,Alive
96,705,2,B,Acer saccharum,0.082,Med,2017,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,13.0,16.03,-0.09,13.88,12.32,7,24.5,0.0,1,Dead
97,721,2,B,Quercus rubra,0.082,Med,2017,Sterile,1595,Sterile,Sterilized,EMF,Sterile,5/23/18,0.0,3.9,3.07,24.59,13.11,7,24.5,0.0,1,Dead
98,743,2,B,Quercus alba,0.082,Med,2017,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,42.35,35.71,4.39,19.42,19.28,7,24.5,0.0,1,Dead
99,767,2,D,Quercus alba,0.1,Med,2017,Quercus alba,1320,Non-Sterile,Conspecific,EMF,EMF,5/22/18,9.0,75.0,4.97,23.56,16.63,7,24.5,0.0,1,Dead
100,874,3,C,Quercus rubra,0.103,Med,2017,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,30.44,39.07,3.8,26.44,14.81,7,24.5,1.0,0,Dead
101,884,3,A,Quercus alba,0.08,Med,2017,Sterile,1320,Sterile,Sterilized,EMF,Sterile,5/17/18,0.0,0.0,3.07,20.78,17.11,7,24.5,0.0,1,Dead
102,288,1,D,Quercus alba,0.107,Med,2017,Sterile,415,Sterile,Sterilized,EMF,Sterile,5/10/18,11.59,11.88,3.73,21.08,17.84,27,94.5,1.0,0,Dead
103,890,3,A,Quercus alba,0.08,Med,2016,Quercus rubra,1688,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,1.0,0.0,5.27,24.67,15.59,7,24.5,0.0,1,Dead
104,293,1,B,Quercus alba,0.1,Med,2016,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,23.5,29.23,5.01,18.78,22.58,33,115.5,0.0,0,Alive
105,902,3,A,Quercus alba,0.08,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,17.0,13.89,4.91,19.63,20.24,7,24.5,0.0,1,Dead
106,913,3,C,Acer saccharum,0.103,Med,2016,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,6/1/18,21.88,12.885000000000002,0.3,10.18,10.38,7,24.5,0.0,1,Dead
107,300,1,D,Quercus alba,0.107,Med,2017,Sterile,1297,Sterile,Sterilized,EMF,Sterile,5/10/18,11.59,11.88,3.73,21.08,17.84,33,115.5,0.0,0,Alive
108,304,1,D,Quercus rubra,0.107,Med,2017,Prunus serotina,H,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,23.34,27.55,3.42,23.82,15.66,18,63.0,1.0,0,Dead
109,307,1,B,Quercus rubra,0.1,Med,2017,Quercus rubra,1595,Non-Sterile,Conspecific,EMF,EMF,5/24/18,20.4,43.74,3.66,26.29,14.71,33,115.5,0.0,0,Alive
110,921,3,A,Quercus alba,0.08,Med,2016,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,15.0,5.41,3.91,18.41,21.14,7,24.5,0.0,1,Dead
111,314,1,B,Quercus rubra,0.1,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,25.8,27.74,3.38,24.3,15.31,18,63.0,1.0,0,Dead
112,943,3,A,Quercus alba,0.08,Med,2016,Sterile,415,Sterile,Sterilized,EMF,Sterile,5/17/18,0.0,0.0,3.07,19.85,18.05,7,24.5,0.0,1,Dead
113,946,3,C,Acer saccharum,0.103,Med,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,14.82,7.406666666666666,-0.1,13.59,12.2,7,24.5,1.0,0,Dead
114,967,3,C,Acer saccharum,0.103,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,22.16,14.813333333333333,-0.64,13.88,12.13,7,24.5,1.0,0,Dead
115,969,3,C,Quercus rubra,0.103,Med,2017,Quercus alba,1478,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,36.0,22.22,3.79,25.0,15.42,7,24.5,0.0,1,Dead
116,973,3,A,Quercus rubra,0.08,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,37.0,14.29,3.43,26.81,14.09,7,24.5,0.0,1,Dead
117,983,3,C,Quercus alba,0.103,Med,2017,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,11.0,39.47,5.36,24.01,16.74,7,24.5,0.0,1,Dead
118,990,3,C,Prunus serotina,0.103,Med,2016,Sterile,H,Sterile,Sterilized,AMF,Sterile,6/5/18,9.0,19.735,0.03,7.75,11.76,7,24.5,0.0,1,Dead
119,994,3,A,Quercus rubra,0.08,Med,2016,Sterile,1454,Sterile,Sterilized,EMF,Sterile,5/23/18,0.0,0.0,3.38,22.52,16.39,7,24.5,0.0,1,Dead
120,997,3,A,Quercus rubra,0.08,Med,2016,Acer rubrum,1386,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,50.0,15.0,3.44,27.07,14.3,7,24.5,0.0,1,Dead
121,343,1,B,Quercus rubra,0.1,Med,2017,Prunus serotina,G,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,25.8,27.74,3.38,24.3,15.31,18,63.0,1.0,0,Dead
122,1008,3,C,Quercus alba,0.103,Med,2017,Quercus alba,1205,Non-Sterile,Conspecific,EMF,EMF,5/22/18,15.0,36.17,4.93,25.25,15.55,7,24.5,0.0,1,Dead
123,1009,3,A,Quercus rubra,0.08,Med,2017,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,12.0,26.42,3.07,26.99,13.0,7,24.5,0.0,1,Dead
124,1015,3,A,Quercus alba,0.08,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,52.0,12.24,4.8,17.68,22.0,7,24.5,0.0,1,Dead
125,353,1,D,Quercus rubra,0.107,Med,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,27.66,37.81,3.8,26.54,14.73,33,115.5,0.0,0,Alive
126,1016,3,A,Prunus serotina,0.08,Med,2016,Acer saccharum,961,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,31.81,34.45333333333333,0.71,9.35,11.66,7,24.5,1.0,0,Dead
127,1028,3,A,Acer saccharum,0.08,Med,2016,Sterile,1323,Sterile,Sterilized,AMF,Sterile,6/11/18,16.0,31.096666666666668,-0.03,12.14,12.38,7,24.5,0.0,1,Dead
128,363,1,B,Quercus rubra,0.1,Med,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,25.8,27.74,3.38,24.3,15.31,18,63.0,1.0,0,Dead
129,1029,3,A,Acer saccharum,0.08,Med,2017,Sterile,275,Sterile,Sterilized,AMF,Sterile,6/11/18,2.0,18.5,0.11,12.46,13.41,7,24.5,0.0,1,Dead
130,1035,3,A,Quercus rubra,0.08,Med,2016,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,34.0,9.26,2.77,26.63,10.86,7,24.5,0.0,1,Dead
131,1046,3,A,Acer saccharum,0.08,Med,2016,Quercus rubra,1454,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.69,15.696666666666667,0.09,13.72,12.11,7,24.5,1.0,0,Dead
132,1048,3,A,Acer saccharum,0.08,Med,2017,Sterile,961,Sterile,Sterilized,AMF,Sterile,5/24/18,2.0,22.133333333333333,-0.03,10.32,12.06,7,24.5,0.0,1,Dead
133,1057,3,C,Quercus alba,0.103,Med,2017,Populus grandidentata,1201,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,33.0,28.57,4.82,25.1,15.28,7,24.5,0.0,1,Dead
134,1058,3,C,Quercus alba,0.103,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,10.0,5.88,4.61,25.57,15.17,7,24.5,0.0,1,Dead
135,1065,3,A,Prunus serotina,0.08,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,32.34,17.645,0.37,8.48,11.26,7,24.5,1.0,0,Dead
